goal_index,goal_timestamp,goal_line,last_write_timestamp,last_write_line,goal_to_last_write_s,goal_to_settle_s,last_write_to_settle_s,latest_settled_motor,latest_settle_timestamp,latest_settle_line
1,1778912254.9223166,3348,1778912258.6217344,3837,3.69941782951355,6.69832181930542,2.99890398979187,3,1778912261.6206384,3908
2,1778912267.8225253,3934,1778912273.621382,4466,5.798856735229492,7.698256969451904,1.899400234222412,3,1778912275.5207822,4522
3,1778912283.3242188,4557,1778912289.1213577,4870,5.797138929367065,6.296422719955444,0.4992837905883789,1,1778912289.6206415,4890
4,1778912289.621828,4895,1778912291.2209687,4991,1.5991406440734863,3.6988508701324463,2.09971022605896,1,1778912293.320679,5017
5,1778912300.5224073,5034,1778912310.7210321,5602,10.198624849319458,13.798240184783936,3.5996153354644775,1,1778912314.3206475,5668
6,1778912326.4219189,5701,1778912329.521245,5987,3.0993261337280273,5.698716640472412,2.5993905067443848,6,1778912332.1206355,6053
7,1778912338.5219672,6087,1778912341.6211784,6373,3.0992112159729004,5.798847913742065,2.699636697769165,6,1778912344.320815,6438
8,1778912346.7226284,6471,1778912351.121163,6734,4.398534536361694,6.198107481002808,1.7995729446411133,1,1778912352.9207358,6777
9,1778912356.422097,6809,1778912362.2210605,7886,5.79896354675293,9.398553848266602,3.599590301513672,6,1778912365.8206508,8022
10,1778912388.0220466,8063,1778912391.1212637,8338,3.099217176437378,4.798594951629639,1.6993777751922607,5,1778912392.8206415,8387
11,1778912403.0229232,8439,1778912408.121213,8962,5.098289728164673,6.897834777832031,1.7995450496673584,3,1778912409.920758,9031
12,1778912440.2228513,9087,1778912442.72134,9501,2.498488664627075,4.897968769073486,2.399480104446411,3,1778912445.12082,9590
13,1778912453.622192,9654,1778912454.5209885,9696,0.898796558380127,1.6985173225402832,0.7997207641601562,1,1778912455.3207092,9712
14,1778912471.9220047,9746,1778912473.0214198,9879,1.0994150638580322,3.1986327171325684,2.099217653274536,6,1778912475.1206374,9931
15,1778912480.722031,9969,1778912481.6211221,10012,0.8990910053253174,1.5986709594726562,0.6995799541473389,3,1778912482.320702,10025
17,1778912520.6218781,10246,1778912521.2210948,10289,0.5992166996002197,1.2987661361694336,0.6995494365692139,6,1778912521.9206443,10311
19,1778912568.7220268,10543,1778912569.3220525,10588,0.6000256538391113,2.198646306991577,1.5986206531524658,3,1778912570.9206731,10627
21,1778912601.3229096,10878,1778912604.3214173,11289,2.9985077381134033,5.697817325592041,2.6993095874786377,3,1778912607.020727,11373
24,1778912692.2223895,13657,1778912697.5211031,14366,5.298713684082031,7.0983405113220215,1.7996268272399902,3,1778912699.32073,14438
25,1778912704.4219859,14475,1778912706.4211407,14590,1.999154806137085,4.398656368255615,2.3995015621185303,3,1778912708.8206422,14625
26,1778912719.0221457,14643,1778912724.9215503,15417,5.899404525756836,9.498530626296997,3.599126100540161,3,1778912728.5206764,15516
