goal_index,goal_timestamp,goal_line,last_write_timestamp,last_write_line,goal_to_last_write_s,goal_to_settle_s,last_write_to_settle_s,latest_settled_motor,latest_settle_timestamp,latest_settle_line
3,1778910930.0965145,3090,1778910933.794354,3465,3.6978394985198975,5.796967267990112,2.099127769470215,6,1778910935.8934817,3526
4,1778910942.395889,3562,1778910948.9940403,4032,6.598151206970215,7.897653579711914,1.2995023727416992,6,1778910950.2935426,4072
5,1778910952.9974263,4112,1778910954.4940255,4205,1.4965991973876953,3.396075487136841,1.8994762897491455,5,1778910956.3935018,4266
6,1778910959.195107,4305,1778910962.894729,4694,3.6996219158172607,5.698370456695557,1.998748540878296,4,1778910964.8934774,4764
